county_name,state_name,fips,area_ha,farm_cnt,farm_area_mean_ac,farm_area_km2,corn_planted_ac,soy_planted_ac,corn_harvest_ac,corn_harvest_ha,soy_harvest_ac,soy_harvest_ha,corn_yield_bu_per_ac,corn_yield_kg_per_ha,soy_yield_bu_per_ac,soy_yield_kg_per_ha,corn_econ_loss_usd,soy_econ_loss_usd,farm_econ_loss_mean_usd,farm_econ_loss_min_usd,farm_econ_loss_max_usd,econ_loss_mean_usd,econ_loss_min_usd,econ_loss_max_usd,econ_loss_usd_per_ha,econ_loss_usd_per_km2,topsoil_loss_km2,topsoil_loss_frac,topsoil_loss_error_frac,state_econ_loss_usd,state_topsoil_loss_frac
Monroe,Iowa,19135,49355.4672,592,330,493.554672,30250,30980,28450,11522.25,30720,12441.6,172,10787.16049,51,3425.185185,825852.0652,695566.8524,4119.860471,3625.477214,4614.243727,1521418.918,1338848.647,1703989.188,30.82574239,219.7797114,219.7797114,0.445299627,0.14906711,724886364,0.365028821
Montgomery,Iowa,19137,82441.5136,499,491,824.415136,94880,90540,93460,37851.3,90080,36482.4,184,11539.75309,53,3559.506173,2640595.145,1928494.551,11020.98072,9698.46303,12343.4984,4569089.696,4020798.933,5117380.46,55.42219565,334.0142285,334.0142285,0.405152955,0.143850398,724886364,0.365028821
Muscatine,Iowa,19139,74501.7392,786,274,745.017392,90800,72140,88280,35753.4,71340,28892.7,196,12292.34568,59,3962.469136,2247599.527,1438273.906,5490.09163,4831.280634,6148.902626,3685873.433,3243568.621,4128178.244,49.47365621,255.345223,255.345223,0.342737265,0.129596607,724886364,0.365028821
Page,Iowa,19145,107278.7072,739,429,1072.787072,113400,111400,111840,45295.2,110840,44890.2,182,11414.32099,53,3559.506173,3147744.771,2389787.58,8968.401871,7892.193647,10044.6101,5537532.351,4873028.469,6202036.233,51.61818683,437.7289657,437.7289657,0.40802968,0.143702711,724886364,0.365028821
Plymouth,Iowa,19149,161887.7264,1331,407,1618.877264,231900,197100,209100,84685.5,195460,79161.3,201,12605.92593,60,4029.62963,5858104.451,4300036.221,10343.07637,9101.907206,11584.24554,10158140.67,8939163.791,11377117.55,62.7480594,595.3628539,595.3628539,0.367762811,0.137264827,724886364,0.365028821
Pottawattamie,Iowa,19155,172678.688,1188,449,1726.78688,244750,192500,240250,97301.25,191625,77608.125,194,12166.91358,56,3760.987654,6952839.334,4211077.273,11756.53139,10345.74762,13167.31515,11163916.61,9824246.614,12503586.6,64.65138655,679.6676476,679.6676476,0.393602508,0.143241768,724886364,0.365028821
Poweshiek,Iowa,19157,111410.2736,852,393,1114.102736,145600,116000,142760,57817.8,115400,46737,206,12919.50617,55,3693.82716,4617984.574,2621821.767,10343.06567,9101.897791,11584.23355,7239806.341,6371029.58,8108583.102,64.983292,461.5988827,461.5988827,0.414323444,0.14833479,724886364,0.365028821
Ringgold,Iowa,19159,94393.2688,651,414,943.932688,54900,60500,52180,21132.9,60140,24356.7,162,10160,47,3156.54321,1411994.067,1242026.931,4714.316036,4148.598112,5280.03396,2654020.998,2335538.479,2972503.518,28.11663408,416.0213304,416.0213304,0.440731988,0.150037911,724886364,0.365028821
Scott,Iowa,19163,74358.5776,759,291,743.585776,108900,71260,106540,43148.7,70840,28690.2,207,12982.22222,62,4163.950617,3071884.039,1609340.608,7419.530452,6529.186797,8309.874106,4681224.648,4119477.69,5242971.605,62.95473634,273.283646,273.283646,0.367521347,0.135802156,724886364,0.365028821
Shelby,Iowa,19165,115659.8048,869,428,1156.598048,176300,139200,171800,69579,138560,56116.8,198,12417.77778,57,3828.148148,5227533.626,3192840.061,12619.66141,11105.30204,14134.02077,8420373.687,7409928.844,9430818.529,72.80293877,468.977201,468.977201,0.405479848,0.1460258,724886364,0.365028821
